county,student,year_adopted,year_ending,year_amendment,wildlife_corridors_human,land_acquisition_human,wildlife_crossings_human,wildlife_surveys_human,open_space_human,human_rank_score,ranking_raw,ranking_rationale
Gadsden County,Grace Qiang,1991.0,2025,?,0,0,0,0,1,,2026-01-03 00:00:00,"Brief mentions of land acquisition for conservation purposes. NO mention of wildlife crossings, corridors, and surveys. limited references to open space planning."
Gilchrist County,Grace Qiang,1991.0,nan,2021,1,1,0,1,1,,2026-01-03 00:00:00,"Mentions environmental corridors, but not specifically for wildlife. Mentions land acquisition without reference to conservation or wildlife. No crossing policy. Outlines site surveys for protected species. Dedicated section to open space planning."
Okaloosa County,Leah Stevens,1990.0,2045,2024,0,0,0,0,1,,2026-01-03 00:00:00,"""Wildlife habitat"" used far more than corridor or crossing. Land acquisition missing verbatim. "
Okeechobee County,Leah Stevens,1992.0,2020,2016,0,0,0,0,1,,2026-01-03 00:00:00,"No land acquisition, wildlife corridor, wildlife crossing, wildlife survey by name. Open space is mentioned verbatim."
Pinellas County,Leah Stevens,1989.0,2045,2025,0,1,0,0,1,,2026-01-03 00:00:00,"Corridor not used in relation to wildlife, no mention of wildlife crossing, unrelated survey mentions. Lackluster open space relation."
Santa Rosa County,Leah Stevens,1990.0,2040,2024.   2025 ,1,1,0,0,1,,2026-01-03 00:00:00,"Policy on open space, but does not include any explicity references to the other types."
St. Lucie County,Leah Stevens,2004.0,2025,2025,1,1,0,1,0,,2026-01-03 00:00:00,"Doesn't include wildlife corridors, crossings, or surveys. Includes minimal verbatim references to open space and land acquisition."
Sumter County,Leah Stevens,1992.0,2045,2023,1,1,0,0,1,,2026-01-03 00:00:00,"""Wildlife"" used more with habitat and conservation than any of the three we are looking for. Good use of open space."
Suwannee County,Leah Stevens,1991.0,2023,2016,1,1,0,0,1,,2026-01-03 00:00:00,"No direct mention of wildlife corridors, crossings, or surveys. Open space and land acquisition used enough."
Taylor County,Leah Stevens,1990.0,2060,2020,0,1,0,0,1,,2026-01-03 00:00:00,"Almost none of the words are there verbatim, and if they are mentioned it is only once or twice."
Union County,Leah Stevens,1986.0,2040,2022,1,1,0,0,1,,2026-01-03 00:00:00,None of the keywords are searchable except land acquisition which is there three times. 
Volusia County,Leah Stevens,1988.0,2035,2025,1,1,1,0,1,,2026-01-03 00:00:00,"No wildlife crossing, corridor, or survey. Barely mentions land acquisition. Open space doesn't include planning. "
Wakulla County,Leah Stevens,1990.0,2040,2021,0,1,0,0,0,,2026-01-03 00:00:00,"No wildlife crossing, corridor, or survey and barely any mentions of land acquisition or open space."
Walton County,Leah Stevens,1991.0,2040,2021,1,1,0,0,1,,2026-01-03 00:00:00,"Wildlife is mostly used before ""habitats."" Open space and land acquisition is only used once each."
Washington County,Leah Stevens,1991.0,2035,2024,1,1,0,0,1,,2026-01-03 00:00:00,Only open spaces are used. Everything else is not used.
Baker County,Grace Qiang,1991.0,2040,2019,1,1,0,0,1,,2026-02-03 00:00:00,The plan explicitly mentions wildlife corridors and trail corridors without specifics. Land acquisition is briefly mentioned without elaboration. Crossings and surveys are not mentioned. Strong section about state parks and open space planning for wildlife
Bay County,Grace Qiang,1990.0,2045,2025,1,1,0,0,1,,2026-02-03 00:00:00,Talks about preservation of wildlife corridors and habitats. Land acquisition is mentioned once in reference to conservation. No mention of crossings and surveys. Many specific policies pertaining to open space planning.
Brevard County,Grace Qiang,1988.0,2027,2024,1,1,0,0,1,,2026-02-03 00:00:00,Dicussion of studies towards and economics of wildlife corridors. Encourages existing program for land acquisition. No mention of crossings or surveys. General mentions of open space related to wildlife and greenways.
Clay County,Grace Qiang,1993.0,2045,2024,1,1,0,0,1,,2026-02-03 00:00:00,Identifies significant wildlife corridors and mentions environmental surveys could be used. Mentions policy for land acquisition. Open space planning references protecting wildlife species. 
Collier County,Grace Qiang,1989.0,2045,2022,1,1,1,1,1,,2026-02-03 00:00:00,Mentions wildlife corridors and specific strategies such as crossings and signs. Mentions surveys for certain species. Also discusses general strategies for land acquisition and open space planning with consideration to protection.
Duval County,Grace Qiang,1990.0,2045,?,1,1,0,0,1,,2026-02-03 00:00:00,Several mentions of wildlife corridors. No mention of crossings or surveys. Discusses and acquisition in reference to wildlife corridors. Contains general recreation and open space element. 
Glades County,Grace Qiang,1990.0,nan,2025,1,0,1,1,1,,2026-02-03 00:00:00,Provides a map and plans to protect wildlife corridors. No specific references to land acquisition. No specific mentions to wildlife crossings. Plans for environmental and species surveys. Open space largely refers to agriculture and not conservation.
Monroe County,Leah Stevens,1989.0,2030,"2022, 2023",0,1,0,0,1,,2026-02-03 00:00:00,"Most of the words were searchable, but wildlife crossings was not while still being extensively talked about."
Nassau County,Leah Stevens,1991.0,2030,2025,1,1,1,0,1,,2026-02-03 00:00:00,"Most of the words were searchable, but no direct mention of wildlife surveys and rarely mentions wildlife crossings. "
Orange County,Leah Stevens,1991.0,2030,2022,1,1,1,0,1,,2026-02-03 00:00:00,"Wildlife used three total times, twice as wildlife corridors. Land acquisition, open space, and survey used extensively. "
Polk County,Leah Stevens,1991.0,2050,2020.    2022,0,1,0,0,1,,2026-02-03 00:00:00,"No wildlife crossing, wildlife survey, or direct wildlife corridor mentions. Good use of land acquisiiton and open space planning."
Putnam County,Leah Stevens,1991.0,2045,2013.     2014 ,1,1,0,1,1,,2026-02-03 00:00:00,"Top priority of open space planning, land acquisition, and wildlife corridors. Others not specifically talked about."
Sarasota County,Leah Stevens,1993.0,2050,2017,1,1,0,0,1,,2026-02-03 00:00:00,"No wildlife crossing, corridor, or survey. Good use of open space and land acquisition."
Seminole County,Leah Stevens,1991.0,2045,2024,0,1,0,0,1,,2026-02-03 00:00:00,"Land acquisition used less than general ""land use."" Open space used so much. Wildlife corridors included but not crossing or surveys."
Charlotte County,Grace Qiang,1988.0,2050,nan,1,1,1,0,1,,2026-03-03 00:00:00,"Outlines a specific strategy for wildlife corridor linkage. Describes plans for future land acquisition. No references to wildlife crossings. Describes a ""species survey"" for wildlife. Robust policy to protect open space."
Osceola County,Leah Stevens,1990.0,2040,2019,1,1,1,1,1,,2026-03-03 00:00:00,"""Plan Summary"" document details there are extensive uses of all the words."
Palm Beach County,Leah Stevens,1989.0,2028,Latest: 2025,1,1,1,1,1,,2026-03-03 00:00:00,Potentially should be 2/3 because there was no wildlife crossings mention and rarely talked about the correct survey.
Pasco County,Leah Stevens,1989.0,2050,2025,1,1,1,0,1,,2026-03-03 00:00:00,No wildlife surveys or wildlife crossings by name. Mentions of them were indirect. All other phrases were present.
St. Johns County,Leah Stevens,1990.0,2025 soon 2050,2015.  2024,1,1,1,0,1,,2026-03-03 00:00:00,Includes specific mention of all the keywords except for wildlife surveys.
Gulf County,Yair Roman,2008.0,nan,2011,0,0,1,1,1,1, (30%) 1/3,"Mention of Wildlife corridor, but no substation relation to conservation or ecology. No direct mention of land aqcisition. Mention of crossings, not relating to wildlife. Idea of survey used in relation to wildlife. Discussion of open space planing, but no relation to wildlife protection. "
Holmes County,Yair Roman,1991.0,nan,nan,0,0,0,0,1,1,(13%) 1/3,"No mentions of Wildlife corridors, wild crossings, or wildlife surveys. Mentions with little plan of wildlife conservation of Land acquisition and Open space planning. "
Lafayette County,Yair Roman,1991.0,2030,2021,0,1,0,0,1,1,(20%) 1/3,"Indirect refernces to land acquisition, loosly related to wildlife conservation plans. Reference to open space with little to no relation to wildlife conservation efforts. No mentions of Wildlife corridor, crossings, or surveys. "
Madison County,Yair Roman,1991.0,2035,2015,0,1,0,0,1,1,(33%) 1/3,"Mentions with some strong language or maps of Land Acquisition. No direct mentions of Wildlife Surveys, but multiple mentiosn and maps of Geological Surveys. Section dedicated to Open Space with indirect mentions to wildlife conservation. No mentions of Wildlife corrridor or crossings. "
Levy County,Yair Roman,1990.0,2050,2025,0,1,0,0,1,2,(40%) 2/3,"Strong and frequent mentions and planning for Land Acquisition and Open Space Planning. No mentions of Wildlife corridor, crossings, or surveys. Plan frequented having ""Natural Resources Protection"" sections throughout its plan, but it just did not mention 3/5 key words. "
Manatee County,Yair Roman,1989.0,2025,2025,1,1,0,0,1,2,(43%) 2/3,Strong and frewuent mentions of Open space planning in relation to conservation and protection. Some Good and substatial mentions of Wildlife corridor (directly mentioned once) and Land Acquisition. No mentions of Wildlife crossings or Surveys.
Jefferson County,Yair Roman,1990.0,2030,2018,1,0,0,1,1,2,(46%) 2/3,Mention and regulations for Open space planning. Minimum mentions of the Wildlife Corridor. Indirect reference to Wildlife surveys.  No mentions of Land acquisition or Wildlife crossings. 
Hamilton County,Yair Roman,1990.0,nan,Latest: 2011,1,1,0,1,1,2,(53%) 2/3,"Indirect mention and reference to Wildlife corridor and protection. Land acquisition mentioned only in contect of school board payment. Wildlife crossings not mentioned. No direct reference, but does reference wildlife surveys in context of conservation and wildlife protection. Mention Open space planning and provides wildlife protection efforts. "
Liberty County,Yair Roman,1991.0,2025,2025,1,1,0,0,1,2,(60%) 2/3,"String mentions and use of Open Space Planning. Strong outlines and use of wildlife surveys, while not directly using ""wildlife"" verbage. Mention of Wildlife Corridor and Land Acquisition, both with indirect relation to protection."
Hendry County,Yair Roman,1991.0,nan,2012,1,1,1,0,1,2,(66%) 2/3,"Mentions and protection of wildlife corridor, crossings, and open space planning. Mention of land acquisition but in reference to school construction. No mention or references relating to Wildlife surveys/ "
Leon County,Yair Roman,1990.0,2030,2025,0,1,0,1,1,2,(66%) 2/3,"Mentions and policy outlnes for Land acquisition, Wildlife Surveys and open space planning. No direct mention of wildlife corridor, but referenced once. No mentions of wildlife crossings. "
Miami-Dade County,Yair Roman,1986.0,2019,2022,1,1,0,0,1,2,(66%) 2/3,"Strong mentions and references to Land Acquisition and open space planning. One mention to Wildlife Corridor, with other indirect references in context of conservation. Mention of ""biological surveys"" instead of ""wildlife surveys."" No mentions of Wildlife crossings whatsoever. "
Hernando County,Yair Roman,1989.0,2040,nan,1,1,1,1,1,3,(73%) 3/3,"Mentioned and outlines protection outlines ffor the wildlife corridor, wildlife surveys, and open space planning. Mentiones with slight references to wildlife crossings. No mention of land acquisition. "
Hillsborough County,Yair Roman,1989.0,nan,2025,1,1,1,0,1,3,(73%) 3/3,"Mentiosn and strong planning for protection of wildlife corridors, land acquisition, and open space planning, mentions and addresseeswillife crossings, but provide little protection or planning strategies. No mentions of wildlife surveys. "
Lee County,Yair Roman,1989.0,nan,2025,1,1,1,1,1,3,(73%) 3/3,"Direct mentions and policy on Wilflife corridor, land acquisition, and wildlife crossings. No direct mention to open space planning, but refernce throughout. No mention of wildlife surveys. "
Martin County,Yair Roman,1990.0,2023,2025,1,1,0,0,1,3,(73%) 3/3,"Strong and somewhat frequent mentions and protection outlines of Wildlife Corridor, Land Acquisition, and Open Space Planning. While not having any direct mentions of ""Wildlife Surveys"" verbatim, there is one strong reference to surveys in context of wildlife conservation, and multiple references to soil surveys. No references whatsoever of wildlife crossings. "
Hardee County,Yair Roman,1991.0,nan,2014,1,1,1,1,1,3,(80%) 3/3,"Mentioned and protects wildlife corridors, Land Acquisition and Open space planning. Wildlife crossings not referenceed directly but addresed in relation to conservation. Surveys mentioned, with slight reference to wildlife. "
Highlands County,Yair Roman,1990.0,2030,2014,1,1,1,0,1,3,(80%) 3/3,"Mentions and Support with strong evidence protection plans for wildlife crossings, land acquisition, wildlife corridors, and open space planning. No mentions of Wildlife surveys."
Indian River County,Yair Roman,1989.0,2030,nan,1,1,0,1,1,3,(80%) 3/3,"Mentions and sufficcient regulations and protection for wild life corridors, land acquisition, wildlife surveys, open space planning. No mentions of Wildlife crossings. "
Jackson County,Yair Roman,1990.0,2030,2022,1,1,0,1,1,3,(80%) 3/3,"Mention oand planning protection for wildlife corridor, land acqhuisition, wildlife survey, and open space planning. No mentions of wildlife crossings. "
Marion County,Yair Roman,1992.0,2045,2026,1,1,0,0,1,3,(80%) 3/3,"Strong and frequent mentions and protection of wildlife corridor and open space planning. Strong single mention with reference to protection for land aqcusition and wildlife crossings. Strong references to wildlife surveys throughout, although not including ""wildlife"" verbage directly. "
Lake County,Yair Roman,1989.0,nan,2025,1,1,1,1,1,3,(93%) 3/3,"Explicit mentions and outlines for the regulation and protection of conserved areas regarding the wildlife corridor, Land acquisition. wildlife surveys, and open splace planning. Acknolodges wildlife crossings, and efforts to implement more, but no present policy in place. "
